slug,name,logo_url,website_url,tagline,contact_links,date_created,tech_tags,topic_tags,categories,program_slug,logo_bg_color,description_html,ideas_list_url
gnss-sdr,GNSS-SDR,https://summerofcode.withgoogle.com/media/org/gnss-sdr/vaciksjfho8cec2g-360.png,https://gnss-sdr.org/,An open source GNSS software-defined receiver,"[{'name': 'mailingList', 'value': 'https://sourceforge.net/projects/gnss-sdr/lists/gnss-sdr-developers'}]",2022-03-08T14:46:26.907783Z,"['c', 'c++', 'sdr']","['gnss', 'geolocation', 'navigation', 'software defined radio', 'communications']","['Science and medicine', 'Other']",2022,,"GNSS-SDR is an open source Global Navigation Satellite Systems software receiver, written in C++, that is able to work either from raw signal samples stored in a file, or in real-time with a radio-frequency front-end as signal source, and performs all the signal processing until the observable computation and Position-Velocity-Time solution. Its modularity allows users to populate the framework with their own algorithms, allowing to put the focus on the signal processing implementation without worrying about how to embed that algorithm in a whole GNSS receiver. It also makes possible fair performance benchmarks using real GNSS signals, and its open source license allows free downloading, use and code inspection.
The proposed software receiver targets multi-constellation/multi-frequency architectures, pursuing the goals of efficiency, modularity, interoperability, and flexibility demanded by user domains that require non-standard features, such as earth observers or geodesists, and allowing applications such as the observation of the ionosphere, GNSS reflectometry, signal quality monitoring, space weather, and high-accuracy positioning based on carrier-phase navigation techniques. In this project, we focus on signal processing, understood as the process between the ADC and the computation of code and phase observables, including the demodulation of the navigation message. We purposely omit data processing, understood as the computation of the navigation solution from the observables and the navigation message, since there are a number of well-established libraries and applications for that (also in the open source side, such as GPSTk or RTKLIB).",https://gnss-sdr.org/google-summer-code-2024-ideas-list/
gnu-compiler-collection-gcc,GNU Compiler Collection (GCC),https://summerofcode.withgoogle.com/media/org/gnu-compiler-collection-gcc/kpspl59nyj0hoxlr-360.png,https://gcc.gnu.org/,GNU compilers,"[{'name': 'mailingList', 'value': 'https://gcc.gnu.org/mailman/listinfo/gcc'}, {'name': 'chat', 'value': 'https://gcc.gnu.org/wiki/GCConIRC'}, {'name': 'chat', 'value': 'https://gcc-rust.zulipchat.com/login/'}, {'name': 'twitter', 'value': 'https://twitter.com/gnutools'}]",2022-03-29T16:54:12.791478Z,"['c/c++', 'gnu make', 'gnu autotools']","['compilers', 'developer tools', 'toolchain', 'openmp', 'link time optimization']","['Programming languages', 'Development tools']",2022,,"The GNU Compiler Collection (GCC) is an optimizing compiler produced by the GNU Project supporting various programming languages, hardware architectures and operating systems. It includes front-ends for C, C++, D, Objective-C, Fortran, Ada, and Go, as well as libraries for these languages (such as libgcc and libstdc++). Modula-2, Cobol and Rust front-ends are under development too.  GCC includes support for OpenMP, OpenACC and Static Analysis.",https://gcc.gnu.org/wiki/SummerOfCode
gnu-image-manipulation-program,GNU Image Manipulation Program,https://summerofcode.withgoogle.com/media/org/gnu-image-manipulation-program/n73ytwpnna15tra2-360.png,https://www.gimp.org/,GIMP is a cross-platform image editor,"[{'name': 'chat', 'value': 'https://www.gimp.org/discuss.html#irc-matrix'}, {'name': 'twitter', 'value': 'https://twitter.com/GIMP_Official'}, {'name': 'facebook', 'value': 'https://www.facebook.com/gimpofficial/'}, {'name': 'blog', 'value': 'https://www.gimp.org/news/'}]",2022-03-08T14:46:27.893114Z,"['c', 'GEGL']","['graphics', 'design', 'photography', 'illustration']","['End user applications', 'Media']",2022,,"GIMP is a cross-platform image editor available for GNU/Linux, macOS, Windows and more operating systems. It is free software, you can change its source code and distribute your changes.

Whether you are a graphic designer, photographer, illustrator, or scientist, GIMP provides you with sophisticated tools to get your job done. You can further enhance your productivity with GIMP thanks to many customization options and 3rd party plugins.",https://developer.gimp.org/core/internship/ideas/
gnu-octave,GNU Octave,https://summerofcode.withgoogle.com/media/org/gnu-octave/0kc85jo6rl3eo2g0-360.png,https://www.octave.org,Free Your Numbers,"[{'name': 'mailingList', 'value': 'https://octave.discourse.group/'}, {'name': 'blog', 'value': 'https://octave.discourse.group/'}]",2022-03-28T04:25:17.796411Z,"['c++', 'hg']","['mathematics', 'scientific computing', 'numerical computation', 'numerical methods', 'matlab']","['Science and medicine', 'Programming languages']",2022,,"GNU Octave is a high-level interpreted language, primarily intended for numerical computations. It provides capabilities for the numerical solution of linear and nonlinear problems and for performing other numerical experiments. It also provides extensive graphics capabilities for data visualization and manipulation. Octave is normally used through its interactive command line interface, but it can also be used to write non-interactive programs. The Octave language is quite similar to Matlab so that most programs are easily portable.

Octave is continually being upgraded. Student projects may also involve developing or upgrading Octave Forge packages, which can be loaded to provide additional specialized functions that supplement those provided in Core Octave.",https://wiki.octave.org/gsoc
gnu-radio,GNU Radio,https://summerofcode.withgoogle.com/media/org/gnu-radio/v1g5y6exzlwgfulv-360.png,https://www.gnuradio.org,The free & open software radio ecosystem,"[{'name': 'mailingList', 'value': 'https://lists.gnu.org/mailman/listinfo/discuss-gnuradio'}, {'name': 'chat', 'value': 'https://chat.gnuradio.org/#/welcome'}, {'name': 'twitter', 'value': 'https://twitter.com/gnuradio'}, {'name': 'blog', 'value': 'https://www.gnuradio.org/blog/'}]",2022-03-10T07:46:42.162856Z,"['python', 'c++', 'qt', 'simd']","['real-time', 'dsp', 'communications engineering', 'cybersecurity', 'Software-Defined Radio']",['Science and medicine'],2022,,"GNU Radio is a free & open-source software development toolkit that provides signal processing blocks to implement software radios. It can be used with readily-available low-cost external RF hardware to create software-defined radios, or without hardware in a simulation-like environment. It is widely used in research, industry, academia, government, and hobbyist environments to support both wireless communications research and real-world radio systems.

In brief, a software radio is a radio system which performs the required signal processing in software instead of using dedicated integrated circuits in hardware. The benefit is that since software can be easily replaced in the radio system, the same hardware can be used to create many kinds of radios for many different communications standards; thus, one software radio can be used for a variety of applications!

You can use GNU Radio to write applications to receive and transmit data with radio hardware, or to create entirely simulation-based applications. GNU Radio has filters, channel codes, synchronization elements, equalizers, demodulators, vocoders, decoders, and many other types of blocks which are typically found in signal processing systems. More importantly, it includes a method of connecting these blocks and then manages how data is passed from one block to another. Extending GNU Radio is also quite easy; if you find a specific block that is missing, you can quickly create and add it.

GNU Radio applications can be written in either C++ or Python, while the performance-critical signal processing path is implemented in C++ using processor floating-point extensions where available. This enables the developer to implement real-time, high-throughput radio systems in a simple-to-use, rapid-application-development environment.",https://wiki.gnuradio.org/index.php?title=GSoCIdeas
godot-engine,Godot Engine,https://summerofcode.withgoogle.com/media/org/godot-engine/cggtfgpsfjd23pf0-360.png,https://godotengine.org,Multi-platform 2D and 3D game engine,"[{'name': 'chat', 'value': 'https://chat.godotengine.org'}, {'name': 'mailingList', 'value': 'https://github.com/godotengine/godot-proposals/'}]",2022-03-08T14:46:29.739394Z,"['opengl', 'c++', 'vulkan', 'webassembly']","['graphics', 'cross-platform', 'game engine', 'game development', 'programming']","['End user applications', 'Media']",2022,,"Godot Engine is a feature-packed, cross-platform game engine to create 2D and 3D games from a unified interface. It provides a comprehensive set of common tools, so that users can focus on making games without having to reinvent the wheel. Games can be exported with one click to a number of platforms, including the major desktop platforms (Linux, macOS, Windows), mobile platforms (Android, iOS), as well as Web-based platforms (HTML5) and consoles.

Godot is completely free and open source under the very permissive MIT license. No strings attached, no royalties, nothing. The users' games are theirs, down to the last line of engine code. Godot's development is fully independent and community-driven, empowering users to help shape their engine to match their expectations. It is supported by the Software Freedom Conservancy not-for-profit.",https://github.com/godotengine/godot-proposals/issues/4064
grame,GRAME,https://summerofcode.withgoogle.com/media/org/grame/joff5sziiuapvits-360.png,https://faust.grame.fr,Domain specific language for audio,"[{'name': 'chat', 'value': 'https://discord.gg/vzh7CggBtj'}, {'name': 'email', 'value': 'research@grame.fr'}, {'name': 'mailingList', 'value': 'https://faust.grame.fr/community/help/'}, {'name': 'blog', 'value': 'https://github.com/grame-cncm/faustideas'}]",2022-03-08T14:46:32.567411Z,"['c', 'python', 'javascript', 'c++', 'typescript']","['audio', 'compiler', 'digital signal processing', 'function programming language']","['Programming languages', 'Media']",2022,,"Faust (Functional Audio Stream) is a functional programming language for sound synthesis and audio processing with a strong focus on the design of synthesizers, musical instruments, audio effects, etc. Faust targets high-performance signal processing applications and audio plug-ins for a variety of platforms and standards.",https://github.com/grame-cncm/faustideas
haiku,Haiku,https://summerofcode.withgoogle.com/media/org/haiku/lnrgd3agfl2kogbo-360.png,https://www.haiku-os.org,Operating system that targets personal computing.,"[{'name': 'chat', 'value': 'https://www.haiku-os.org/community/irc'}, {'name': 'mailingList', 'value': 'https://discuss.haiku-os.org'}, {'name': 'mailingList', 'value': 'https://www.haiku-os.org/community/ml'}, {'name': 'blog', 'value': 'https://www.haiku-os.org/blog/'}]",2022-03-08T14:46:32.878837Z,"['c++', 'posix', 'unix']","['desktop', 'kernel', 'network', 'media', 'gui']","['Operating systems', 'End user applications']",2022,,"Haiku is a fast, efficient, easy to use and lean open source operating system inspired by the BeOS that specifically targets personal computing.

Haiku is not a Linux distribution, nor does it use the Linux kernel. Haiku is the spiritual successor to BeOS and it is derived from the NewOS kernel, which was authored by Travis Geiselbrecht (geist), who was formerly employed by Be Inc. — the developers of BeOS.

Linux-based distributions stack up software – the Linux kernel, the X Window System, and various DEs with disparate toolkits such as GTK+ and Qt – that do not necessarily share the same guidelines and/or goals. This lack of consistency and overall vision manifests itself in increased complexity, insufficient integration, and inefficient solutions, making the use of your computer more complicated than it should actually be.

Instead, Haiku has a single focus on personal computing and is driven by a unified vision for the whole OS. That, we believe, enables Haiku to provide a leaner, cleaner and more efficient system capable of providing a better user experience that is simple and uniform throughout.",https://www.haiku-os.org/community/gsoc/2024/ideas
haskellorg,Haskell.org,https://summerofcode.withgoogle.com/media/org/haskellorg/ivy7hfguqhoz8onp-360.png,https://haskell.org/,Purely functional programming language,"[{'name': 'mailingList', 'value': 'https://discourse.haskell.org/'}, {'name': 'email', 'value': 'committee@haskell.org'}, {'name': 'chat', 'value': 'https://www.haskell.org/irc/'}, {'name': 'twitter', 'value': 'https://twitter.com/HaskellOrg'}, {'name': 'facebook', 'value': 'https://www.facebook.com/HaskellOrg/'}]",2022-03-08T14:46:33.248250Z,"['haskell', 'ghc']","['compilers', 'programming languages', 'functional programming', 'programming tools']","['Programming languages', 'Development tools']",2022,,"Haskell is an advanced, general-purpose, purely functional programming language.  It has a strong, static type system with Hindley-Milner type inference.

The language natively supports lazy evaluation, and lets you track side effects in the type system. This leads to a concise and declarative style of programming, which differs quite a bit from conventional languages. By controlling side effects and working with immutable data, the programmer can avoid whole classes of bugs.

Haskell generally compiles to fast, native code, but it can also be compiled to other targets like JavaScript (through GHCJS) or LLVM.

In Google Summer of Code, we attempt to improve not only the language, but the whole ecosystem. This includes (aside from the language itself):

- Compilers
- Commonly used libraries
- Commonly used applications written in Haskell
- Profilers, debuggers and other tools
- Package managers and infrastructure

We have compiled an ideas list together with long-time Haskell users, compiler contributors and researchers, and as such we believe these are important projects for the industry and academia both.",https://summer.haskell.org/ideas.html
homebrew,Homebrew,https://summerofcode.withgoogle.com/media/org/homebrew/9enfivj2ibae26ot-360.png,https://brew.sh,The Missing Package Manager for macOS (or Linux),"[{'name': 'mailingList', 'value': 'https://github.com/Homebrew/gsoc'}, {'name': 'mailingList', 'value': 'https://github.com/Homebrew/brew#contributing'}, {'name': 'mailingList', 'value': 'https://github.com/Homebrew/discussions/discussions'}]",2022-03-08T14:46:33.532946Z,"['linux', 'ruby', 'macos']","['linux', 'package manager', 'macos']","['Programming languages', 'Development tools']",2022,,"Homebrew is a package manager for software that isn't provided by the OS. Homebrew installs packages to their own directory and then symlinks their files into /usr/local (on macOS Intel). Homebrew won’t install files outside its prefix and you can place a Homebrew installation wherever you like. Homebrew is written in Ruby and is designed to be easy to use, easy to develop with and easy to contribute to.",https://github.com/homebrew/gsoc#2022-ideas
incf,INCF,https://summerofcode.withgoogle.com/media/org/incf/gnryoa8kunjogh9a-360.png,https://www.incf.org,An open & FAIR neuroscience standards organization,"[{'name': 'email', 'value': 'gsoc@incf.org'}, {'name': 'email', 'value': 'arnab1896@gmail.com'}, {'name': 'email', 'value': 'greg@incf.org'}, {'name': 'twitter', 'value': 'https://twitter.com/INCForg'}]",2022-03-08T14:46:36.169287Z,"['python', 'javascript', 'java', 'c++', 'gpu']","['machine learning', 'data visualization', 'neuroscience', 'brain modelling', 'neuroimage processing']","['Science and medicine', 'Artificial Intelligence']",2022,,"The International Neuroinformatics Coordinating Facility (INCF; www.incf.org) is an international organization launched in 2005, following a proposal from the Global Science Forum of the OECD. 

INCF was established to facilitate and promote the sharing of data and computing resources in the international neuroscience community.  A larger objective of INCF is to help develop scalable, portable, and extensible applications that can be used by neuroscience laboratories worldwide. 

The mission of INCF is to make neuroscience FAIR (Findable, Accessible, Interoperable and Reusable) by sharing and integrating neuroscience data and knowledge worldwide. We foster scientific community collaboration to develop standards for data sharing, analysis  modeling and simulation in order to catalyze insights into brain function in health and disease.

INCF activities are open to all who can contribute to neuroinformatics at the international level. We have a global community of neuroscience researchers working on new and improved tools for all of neuroscience – enabling other researchers to make more and faster discoveries, and improving our understanding of the brain.",https://docs.google.com/document/d/1yESsVPpAwneR6u3Hh4-RfLv48HLqL4lDNcjsT86xY5E/edit
inkscape,Inkscape,https://summerofcode.withgoogle.com/media/org/inkscape/qiomrjtmocpmomjf-360.png,https://inkscape.org,Draw freely!,"[{'name': 'chat', 'value': 'https://chat.inkscape.org'}, {'name': 'mailingList', 'value': 'https://lists.inkscape.org/postorius/lists/inkscape-devel.lists.inkscape.org/'}, {'name': 'twitter', 'value': 'https://twitter.com/inkscape'}, {'name': 'twitter', 'value': 'https://mastodon.art/@inkscape/'}]",2022-03-08T14:46:37.859612Z,"['python', 'c++', 'svg']","['web', 'graphics', 'design']","['End user applications', 'Media']",2022,,"Inkscape is a free and open-source vector graphics editor used to create vector images, primarily in Scalable Vector Graphics (SVG) format",https://wiki.inkscape.org/wiki/Google_Summer_of_Code
intel-video-and-audio-for-linux,Intel Video and Audio for Linux,https://summerofcode.withgoogle.com/media/org/intel-video-and-audio-for-linux/u8hffydro4hyexxd-360.png,https://www.intel.com/content/www/us/en/developer/topic-technology/open/opensource-media-framework/overview.html,We enable Linux Audio and Video for Intel,"[{'name': 'email', 'value': 'Focus.Luo@intel.com'}]",2022-03-08T14:46:38.496640Z,"['c/c++', 'opengl', 'Codec', 'Media', 'Imaging']","['media', 'imaging', 'Codec']","['Media', 'Infrastructure and cloud']",2022,,"We enable video/audio stack for Intel on Linux. We deliver our code to FFmpeg, FFmpeg DNN, Gstreamer, and libXCam",https://www.intel.com/content/www/us/en/developer/articles/event-contest/google-summer-of-code-ideas.html
international-catrobat-association,International Catrobat Association,https://summerofcode.withgoogle.com/media/org/international-catrobat-association/dfkxzmsqlkyvwi2o-360.png,https://www.catrobat.org,Free visual coding apps for computational thinking,"[{'name': 'email', 'value': 'contact@catrobat.org'}, {'name': 'mailingList', 'value': 'https://catrob.at/mailinglist'}, {'name': 'chat', 'value': 'https://github.com/Catrobat/Catroid#contributing'}, {'name': 'twitter', 'value': 'https://twitter.com/Pocket_Code'}]",2022-03-08T14:46:39.759591Z,"['javascript', 'swift', 'kotlin', 'php', 'flutter']","['education', 'visual programming', 'mobile programming', 'game engines', 'creativity tools']","['Programming languages', 'Development tools']",2022,,"Computational thinking for all with free visual coding apps
The Catrobat project develops useful frameworks to create games, animations, or apps easily within a short time. This set of mobile creativity tools for smartphones is inspired by the well-known Scratch framework by the Lifelong Kindergarten Group at the MIT Media Lab. The motivation behind the project is that programming is an important cultural technique on the same level as mathematics and physics, from a practical as well as from a philosophical point of view. Our aim thus is to popularize the skills needed to program from an early age in a fun and engaging way that will facilitate the spread of its adoption among young people all over the world.

Our awarded Android app “Pocket Code” is currently the most famous outcome of the project. Without the need for any further devices, users have the possibility to create their first program directly on their mobile device in just a few steps using visual ""Bricks"". Pocket Code supports all common device sensors, provides special ""Bricks"" for different robotic devices (Lego Mindstorms, Robotix Phiro, etc.) as well as for hardware devices such as the Arduino board or the Raspberry Pi, and of course offers elements of programming languages such as variables, if-statements, concurrency, etc. We also work on ""Pocket Code"" for iOS and on a large number of extensions. That’s why developers of different fields help us to keep our products up-to-date to meet the current needs of our users.

Motivated by prizes (such as the Lovie Award, the Austrian National Innovation Award or the Re-Imagine Education Award) and being featured by different programs (like Google Play for Education or code.org), our team is working on many different subprojects and extensions. Over 500 developers already contributed to our project on different topics such as app development, web technologies, graphics, usability, internationalization, or design.",https://developer.catrobat.org/pages/development/google-summer-of-code/2024/
internet-health-report,Internet Health Report,https://summerofcode.withgoogle.com/media/org/internet-health-report/lifcnmh2qkq9cl5o-360.png,https://ihr.iijlab.net,Monitoring the Internet,"[{'name': 'email', 'value': 'admin@ihr.live'}, {'name': 'twitter', 'value': 'https://twitter.com/ihr_alerts'}]",2022-03-10T00:41:06.741624Z,"['python', 'javascript', 'apache kafka', 'VueJS']","['networking', 'routing', 'communication', 'internet', 'data analytics']","['Science and medicine', 'Data']",2022,,"The Internet Health Report monitors the conditions of networks that compose the Internet. It aims to provide network operators, policymakers, and other stakeholders, with a better understanding of the Internet's infrastructure and its evolution.",https://github.com/InternetHealthReport/gsoc/blob/main/ideas.md
ioos,IOOS,https://summerofcode.withgoogle.com/media/org/ioos/oe7caipkhwnizoyr-360.png,https://ioos.noaa.gov/,"Our eyes on the ocean, coasts, and Great Lakes","[{'name': 'email', 'value': 'micah.wengren@noaa.gov'}, {'name': 'chat', 'value': 'https://gitter.im/ioos'}, {'name': 'email', 'value': 'https://groups.google.com/g/ioos_tech/'}, {'name': 'twitter', 'value': 'https://twitter.com/usioosgov'}]",2022-03-08T14:46:40.616749Z,"['python', 'javascript', 'java', 'ocean science', 'Scientific Python']","['open data', 'data science', 'data management', 'Oceanography']","['Science and medicine', 'Data']",2022,,"IOOS is our eyes on the ocean, coasts, and Great Lakes. We are an integrated network of people and technology gathering observing data and developing tracking and predictive tools to benefit the economy, the environment, and public safety at home, across the nation, and around the globe.",https://github.com/ioos/gsoc/blob/main/2024/ideas-list.md
jabref-ev,JabRef e.V.,https://summerofcode.withgoogle.com/media/org/jabref-ev/ylevworrwqf9bw9g-360.png,https://www.jabref.org/,Open Source bibliography manager,"[{'name': 'chat', 'value': 'http://gitter.im/JabRef/jabref'}, {'name': 'mailingList', 'value': 'https://discourse.jabref.org/'}, {'name': 'twitter', 'value': 'https://twitter.com/jabref_org'}]",2022-03-21T17:42:24.064667Z,"['java', 'javafx', 'ai', 'bibtex']","['science', 'library', 'literature', 'latex', 'bibliography']","['Science and medicine', 'Artificial Intelligence']",2022,,"JabRef is one of the most widely used citation and reference management tools. It helps students and researchers to stay on top of their literature by assisting at every step of a research project: collecting and organizing literature sources, discovering the latest research, citing references in LaTeX and other text editors, and sharing interesting papers with collaborators.

JabRef is open-source and cross-platform. It is written in Java using JavaFX as the user interface technology. It is licensed under the MIT license.

Since 2020 JabRef is maintained by the non-profit organization JabRef e.V.",https://github.com/JabRef/jabref/wiki/GSOC-2024-ideas-list
jboss-community,JBoss Community,https://summerofcode.withgoogle.com/media/org/jboss-community/vno1fifehc0i6aa6-360.png,http://www.jboss.org/,Community of projects around JBoss Middleware,"[{'name': 'chat', 'value': 'https://gitter.im/JBossOutreach/GSoC'}, {'name': 'blog', 'value': 'https://spaces.redhat.com/display/GSOC/Google+Summer+of+Code+2024+Ideas'}]",2022-03-08T14:46:41.755401Z,"['java', 'golang', 'cloud']","['iot', 'cloud', 'microservices', 'kubernetes']","['Data', 'Programming languages', 'Web']",2022,,"JBoss Community is a community of open source projects. The community hosts a diverse set of projects that are written in various programming languages. The primary language is Java, however there are also projects that are written in Go, Rust, Ruby, PHP, Node and other languages.

Project categories range from application servers, microservices, IOT, cloud technologies, web frameworks et cetera",https://spaces.redhat.com/display/GSOC/Google+Summer+of+Code+2024+Ideas
jderobot,JdeRobot,https://summerofcode.withgoogle.com/media/org/jderobot/xwu8zkcagffmlqdj-360.png,http://jderobot.github.io,Toolkit for developing Robotics applications,"[{'name': 'mailingList', 'value': 'https://gsyc.urjc.es/cgi-bin/mailman/listinfo/jde-developers'}, {'name': 'email', 'value': 'jderobot@gmail.com'}, {'name': 'twitter', 'value': 'https://twitter.com/JdeRobot'}]",2022-03-08T14:46:42.265833Z,"['python', 'ros', 'gazebo', 'opencv', 'tensorflow']","['education', 'artificial intelligence', 'robotics', 'computer vision', 'developer tools']","['Other', 'Artificial Intelligence']",2022,,"Robotics applications are typically distributed, made up of a collection of concurrent asynchronous components which communicate using some middleware (ROS messages, DDS...). Building robotics applications is a complex task. Integrating existing nodes or libraries that provide already solved functionality, and using several tools may increase the software robustness and shorten the development time. JdeRobot provides several tools, libraries and reusable nodes. They have been written in C++, Python or JavaScript.

Our community mainly works on four development areas:
1.- Education in Robotics
* RoboticsAcademy (https://jderobot.github.io/RoboticsAcademy/): a ROS-based framework to learn robotics and computer vision with drones, autonomous cars.... It is a collection of Python programmed exercises for engineering students. 
* Unibotics: a web based framework for teaching robotics.

2.- Robot Programming Tools	
* VisualCircuit (https://jderobot.github.io/VisualCircuit/) for robot programming with connected blocks, as in electronic circuits, in a visual way
* VisualStates for robot programming with Finite State Machines in a visual way
* WebSim2D robot simulator with web technologies

3.- MachineLearning in Robotics
* DeepLearningSuite: neural networks for robot control. It includes the BehaviorMetrics tool for assessment of neural networks for autonomous driving
* RL-Studio: Robotic library for the training of Reinforcement Learning algorithms
* DetectionMetrics tool for evaluation of visual detection neural networks and algorithms

4.- FPGAs in Robotics
* FPGA-robotics (https://github.com/JdeRobot/FPGA-robotics): programming robots with reconfigurable computing (FPGAs) using open tools as IceStudio and Symbiflow. Verilog-based reusable blocks for robotics applications.
* NeuralFPGA: running deeplearning networks on FPGAs",https://jderobot.github.io/activities/gsoc/2024#ideas-list
jenkins-wp,Jenkins,https://summerofcode.withgoogle.com/media/org/jenkins-wp/7qlgfron9nyj194y-360.png,https://jenkins.io/,"Jenkins, build great things at any scale","[{'name': 'chat', 'value': 'https://gitter.im/jenkinsci/gsoc-sig'}, {'name': 'mailingList', 'value': 'https://community.jenkins.io/c/contributing/gsoc/6'}, {'name': 'twitter', 'value': 'https://twitter.com/jenkinsci'}, {'name': 'blog', 'value': 'https://www.jenkins.io/node/'}]",2022-03-08T14:46:42.773738Z,"['javascript', 'java', 'go', 'docker', 'kubernetes']","['developer tools', 'automation', 'continuous integration', 'continuous delivery', 'devops']","['Programming languages', 'Development tools']",2022,,"Short description:

Jenkins is a popular open source automation server which is used for building, testing, CI/CD, deployment and many other use-cases. Our motto is ""Build great things at any scale"".

Long description:

Jenkins, originally founded in 2006 as ""Hudson"", is one of the leading automation servers. Jenkins' motto is ""Build great things at any scale"". Using an extensible, plugin-based architecture, developers have created hundreds of plugins to adapt Jenkins to a multitude of build, test, and deployment automation workloads. As Jenkins is open-source, MIT License is used for most of the components.

This year we invite potential GSoC contributors to join the Jenkins community and to work together to improve Jenkins. We have many strategic project ideas which are important to potentially hundreds of thousands of Jenkins users.

The project has over 600 active contributors working on Jenkins core, plugins, website, project infrastructure, localization activities, etc. In total we have more than 2,000 components including plugins, libraries, and various utilities. The main languages in the project are Java, Groovy and JavaScript, but we also have components written in other languages (Go, C/C++, C#, etc.). Jenkins project includes multiple sub-projects (including Configuration-as-Code, Infrastructure and Remoting) and special interest groups. These entities participate in GSoC as a part of the Jenkins project.

The Jenkins project is a part of Continuous Delivery Foundation (CDF).",https://www.jenkins.io/projects/gsoc/2024/project-ideas/
jenkins-x,Jenkins X,https://summerofcode.withgoogle.com/media/org/jenkins-x/jjkyxgzeyje2m2hr-360.png,https://jenkins-x.io/,Accelerate Your Continuous Delivery on Kubernetes,"[{'name': 'chat', 'value': 'https://kubernetes.slack.com/messages/C9LTHT2BB'}, {'name': 'twitter', 'value': 'https://twitter.com/jenkinsxio'}]",2022-03-17T18:25:49.538450Z,"['golang', 'kubernetes', 'gitops']","['cloud', 'CI/CD']","['Infrastructure and cloud', 'Development tools']",2022,,We are a cloud native CI/CD project with a healthy community. We are trying to make CI/CD easy for kubernetes users by including of the best open source tools in the kubernetes ecosystem and making it work as a single platform.,https://jenkins-x.io/blog/2023/02/06/gsoc2023-ideas/
jitsi,Jitsi,https://summerofcode.withgoogle.com/media/org/jitsi/p3456ygkk7vdq0or-360.png,https://jitsi.org,State-of-the-art video conferencing,"[{'name': 'mailingList', 'value': 'https://community.jitsi.org/'}, {'name': 'email', 'value': 'gsoc@jitsi.org'}, {'name': 'twitter', 'value': 'https://x.com/jitsinews'}]",2022-03-08T14:46:44.439554Z,"['javascript', 'java', 'react', 'kotlin', 'webrtc']","['video', 'multimedia', 'video conferencing', 'WebRTC']","['Media', 'Web']",2022,,"Jitsi is a set of Open Source projects which empower users to deploy secure, scalable and easy to use video conferencing platforms with state-of-the-art video quality and features.",https://github.com/jitsi/gsoc-ideas/blob/master/2024/README.md
joomla,Joomla!,https://summerofcode.withgoogle.com/media/org/joomla/dwntn9vfd52jkr9z.png,https://www.joomla.org/,The flexible platform empowering website creators.,"[{'name': 'email', 'value': 'gsoc@joomla.org'}, {'name': 'mailingList', 'value': 'https://forms.gle/p3VpnhC3t3zvb2CJ8'}, {'name': 'chat', 'value': 'https://joomlacommunity.cloud.mattermost.com/main/channels/gsoc2024'}, {'name': 'twitter', 'value': 'https://twitter.com/joomla'}, {'name': 'facebook', 'value': 'https://www.facebook.com/joomla/'}]",2022-03-14T17:15:03.779759Z,"['mysql', 'javascript', 'html', 'php', 'css']","['web', 'programming languages', 'web development', 'web applications', 'cms']","['End user applications', 'Web']",2022,,"The Joomla CMS is a PHP based application that powers about 2.2% of the web, 3.5% of all CMS based websites, as well as many intranets. Joomla has been downloaded over 119 Million times: https://downloads.joomla.org/

The Joomla project has hundreds of contributors, organized in a set of working groups and teams, and a leadership group. These are coordinated by the [Departments](https://volunteers.joomla.org/departments/ ""Joomla Departments"").

Joomla is a community driven FOSS project developed and maintained by an international community encompassing over 150 countries. Joomla is used by millions of websites and web applications ranging from the hobbyist, professional web developer, to large enterprises, for both the World Wide Web and intranets.

Joomla is available in 76 languages with an active and dedicated translation team
https://community.joomla.org/translations/joomla-3-translations.html


The Joomla Project is a community effort which strives to engage contributors from diverse backgrounds and varying interests and skills in building and supporting great software together. The [mission, vision and values](https://www.joomla.org/about-joomla/the-project/mission-vision-and-values.html ""Joomla Mission vision and values"") of the Joomla Project reflect this.

The official umbrella organisation is Open Source Matters (OSM), the not for profit organization that manages financial and legal issues for the Joomla Project. A team of experienced people drawn from many areas of the project will manage the 2023 GSoC project for Joomla.",https://docs.joomla.org/GSoC_2024_Project_Ideas
joplin,Joplin,https://summerofcode.withgoogle.com/media/org/joplin/0b4z6iftngd1afrp-360.png,https://github.com/laurent22/joplin,The secure note taking application,"[{'name': 'mailingList', 'value': 'https://discourse.joplinapp.org/'}, {'name': 'chat', 'value': 'https://discord.com/invite/VSj7AFHvpq'}, {'name': 'twitter', 'value': 'https://twitter.com/joplinapp'}]",2022-03-08T14:46:45.484593Z,"['javascript', 'react', 'typescript', 'electron', 'React-Native']","['database', 'search', 'synchronisation', 'note-taking', 'office']","['End user applications', 'Social and communication']",2022,,"Joplin is a free, open source note taking and to-do application, which can handle a large number of notes organised into notebooks. The notes are searchable, can be copied, tagged and modified either from the applications directly or from your own text editor. The notes are in Markdown format.

The notes can be securely synchronised via end-to-end encryption with various cloud services including Nextcloud, Dropbox, OneDrive or Joplin Cloud. Full text search is available on all platforms to quickly find the information you need.

The application can be customised using plugins and themes, and you can also easily create your own.

The application is available for Windows, Linux, macOS, Android and iOS.",https://github.com/joplin/gsoc/blob/main/ideas_2024.md
